cod_id,http_status,stage_failed,reject_detail,n_blocks,n_sites,n_sites_primitive,volume_a3,is_ordered,formula_declared,formula_parsed,max_z,min_nn_dist_a,contains_carbon,n_parser_warnings,survived
2242660,200,size_within_limit,192 sites > 150,1,192,,1837.0114,True,C23 H23 N O,H92 C92 N4 O4,8,0.9295,True,0,False
2242802,200,ordered,partial or mixed site occupancy,1,46,,531.9577,False,,Ag2 H10 C16 S4 N4 O8,47,,True,0,False
2242914,200,,,1,50,50,508.3493,True,C10 H12 Br N Se,H24 C20 Se2 Br2 N2,35,0.9494,True,0,True
2243023,200,ordered,partial or mixed site occupancy,1,190,,1613.0347,False,,Ho2 Cu10 H73.78 C22 N22 O48.89,67,,True,0,False
2243134,200,,,1,144,144,1381.9035,True,C18 H15 N O2,H60 C72 N4 O8,8,0.9499,True,0,True
2243673,200,ordered,partial or mixed site occupancy,1,280,,2781.3994,False,,B8 P8 H108 Pt4 C96 N12 F32,78,,True,0,False
2243837,200,size_within_limit,156 sites > 150,1,156,,1833.6503,True,C9 H22 Al2 Br4 O2,Al8 H88 C36 Br16 O8,35,0.8883,True,0,False
2244113,200,size_within_limit,156 sites > 150,1,156,,2005.0794,True,C18 H14 I2 N2 O2 Zn,Zn4 H56 C72 I8 N8 O8,53,0.9293,True,0,False
2244178,200,size_within_limit,320 sites > 150,1,320,,2974.1836,True,C17 H17 N3 O3,H136 C136 N24 O24,8,0.9496,True,0,False
2300169,200,size_within_limit,312 sites > 150,1,312,,2978.4647,True,C27 H33 Cl2 Fe N7 O8,Fe4 H132 C108 N28 Cl8 O32,26,0.9391,True,0,False
2300576,200,ordered,partial or mixed site occupancy,1,156,,2229.742,False,,Sr44 Mo16 O92.48,42,,False,0,False
2310019,200,ordered,partial or mixed site occupancy,1,6,,160.3933,False,,Ag0.2 Te4 Au1.8,79,,False,0,False
2310035,200,ordered,partial or mixed site occupancy,1,8,,597.5921,False,,Ca1 Mn2.9623 Cu0.0377 O4,29,,False,3,False
2310223,200,,,1,48,16,926.5418,True,Ga3 Pu,Pu12 Ga36,94,2.7016,False,0,True
2310245,200,,,1,112,28,1853.4335,True,Na Zn13,Na8 Zn104,30,2.5714,False,0,True
2310506,200,ordered,partial or mixed site occupancy,1,164,,2224.1557,False,,Ti8.016 Nb39.984 O116,41,,False,0,False
2310822,200,ordered,partial or mixed site occupancy,1,158,,452.631,False,,P2 H24 O12 F12,15,,False,1,False
2310900,200,,,1,4,2,220.555,True,Pb U,U2 Pb2,92,4.1712,False,0,True
2310971,200,,,1,48,48,810.8832,True,Cl K2 Na O6 S2,K8 Na4 S8 Cl4 O24,19,1.4457,False,0,True
2310987,200,,,1,112,28,1897.4133,True,K Zn13,K8 Zn104,30,2.5924,False,0,True
2311016,200,ordered,partial or mixed site occupancy,1,12,,138.2652,False,,Li0.64 Mn2 Al1.36 O8,25,,False,1,False
2311102,200,,,1,52,52,423.0658,True,C3 H7 N O2,H28 C12 N4 O8,8,0.8804,True,0,True
2311152,200,ordered,partial or mixed site occupancy,1,268,,1795.5062,False,,H80 C96 N8,7,,True,0,False
2311403,200,,,1,128,128,1278.8477,True,C13 H13 F N2 O3,H52 C52 N8 O12 F4,9,0.8599,True,0,True
2311446,200,ordered,partial or mixed site occupancy,1,306,,3541.0715,False,,Rb17.9952 In18 As36 H36 O144,49,,False,1,False
2311448,200,ordered,partial or mixed site occupancy,1,234,,2204.3589,False,,Zn4 H92 C64 N20 Cl8 O36,30,,True,1,False
2311751,200,,,1,60,10,731.4208,True,C6 Ba3 Mg3 O18,Ba6 Mg6 C12 O36,56,1.2753,True,0,True
2312030,200,parsed,ValueError: Invalid CIF file with no structures!,,,,,,,,,,,3,False
2312067,200,,,1,96,96,836.5482,True,C17 H22 N4 O5,H44 C34 N8 O10,8,0.8746,True,0,True
2312396,200,ordered,partial or mixed site occupancy,1,640,,5473.5444,False,,H328 C216 N24 O40,8,,True,0,False
