cod_id,formula_reduced,formula_full,n_sites,n_sites_primitive,volume_a3,spacegroup_symbol,spacegroup_number,crystal_system,n_elements,elements,contains_carbon
1000008,CaMg(SiO3)2,Ca4 Mg4 Si8 O24,40,20,438.3855,C2/c,15,monoclinic,4,Ca Mg O Si,False
1000067,LiSbWO6,Li4 Sb4 W4 O24,36,36,406.5115,Pbcn,60,orthorhombic,4,Li+ O2- Sb5+ W6+,False
1000105,MnFe2Pb8F24,Mn2 Fe4 Pb16 F48,70,70,1034.8775,P2_1/c,14,monoclinic,4,F- Fe3+ Mn2+ Pb2+,False
1000146,Rb2NaAl3F12,Rb4 Na2 Al6 F24,36,36,488.5726,P2_1/m,11,monoclinic,4,Al3+ F- Na+ Rb+,False
1000152,Ba2ZrF8,Ba8 Zr4 F32,44,44,650.1351,Pnma,62,orthorhombic,3,Ba2+ F- Zr4+,False
1000228,FeF3,Fe16 F48,64,16,1100.7031,Fd-3m,227,cubic,2,F- Fe3+,False
1000296,Na2MnGaF7,Na12 Mn6 Ga6 F42,66,66,858.1714,P3_121,152,trigonal,4,F- Ga3+ Mn2+ Na+,False
1000303,NdNiO3,Nd4 Ni4 O12,20,20,220.8901,Pnma,62,orthorhombic,3,Nd3+ Ni3+ O2-,False
1000320,Ba2CeC3O9F,Ba4 Ce2 C6 O18 F2,32,32,433.6805,P2_1/m,11,monoclinic,5,Ba2+ C4+ Ce3+ F- O2-,False
1000331,Ba2GdC2(O2F)3,Ba8 Gd4 C8 O24 F12,56,56,787.5527,Pbcn,60,orthorhombic,5,Ba2+ C4+ F- Gd3+ O2-,False
1000339,KNbSi2O7,K4 Nb4 Si8 O28,44,44,621.5464,P4bm,100,tetragonal,4,K+ Nb5+ O2- Si4+,False
1000361,Ba3ScCO3F7,Ba12 Sc4 C4 O12 F28,60,30,925.968,Cmcm,63,orthorhombic,5,Ba2+ C4+ F- O2- Sc3+,False
1000376,Fe3Pb8F24,Fe6 Pb16 F48,70,35,1022.749,P-1,2,triclinic,4,F- Fe2+ Fe3+ Pb2+,False
1000439,RbFeF4,Rb4 Fe4 F16,24,24,367.2967,Pbcm,57,orthorhombic,3,F- Fe3+ Rb+,False
1000455,RbAlF4,Rb2 Al2 F8,12,12,164.8395,P4/mbm,127,tetragonal,3,Al3+ F- Rb+,False
1001074,KTa(GeO3)3,K2 Ta2 Ge6 O18,28,28,427.0263,P-6c2,188,hexagonal,4,Ge4+ K+ O2- Ta5+,False
1001103,Sr3Ta6(Si2O13)2,Sr3 Ta6 Si4 O26,39,39,525.1383,P-62m,189,hexagonal,4,O2- Si4+ Sr2+ Ta5+,False
1001240,Si3N4,Si12 N16,28,28,294.4253,P31c,159,trigonal,2,N3- Si4+,False
1001294,Cd2As3Br,Cd8 As12 Br4,24,12,610.5543,Cc,9,monoclinic,3,As- Br- Cd2+,False
1001342,TlMo2(PO4)3,Tl4 Mo8 P12 O48,72,72,1004.878,Pbcm,57,orthorhombic,4,Mo4+ O2- P5+ Tl+,False
1001371,K2V3P4O17,K8 V12 P16 O68,104,104,1440.7583,Pna2_1,33,orthorhombic,4,K+ O2- P5+ V4+,False
1001517,KMo(PO4)2,K4 Mo4 P8 O32,48,48,684.5971,P2_1/c,14,monoclinic,4,K+ Mo5+ O2- P5+,False
1001611,BaMo4(PO8)2,Ba2 Mo8 P4 O32,46,23,623.3485,I-42m,121,tetragonal,4,Ba2+ Mo5+ O2- P5+,False
1001620,KMo3(PO7)2,K2 Mo6 P4 O28,40,40,541.6277,P2_1/m,11,monoclinic,4,K+ Mo5.67+ O2- P5+,False
1001646,V4Zn3(PO4)6,V4 Zn3 P6 O24,37,37,405.291,P-1,2,triclinic,4,O2- P5+ V3+ Zn2+,False
1004036,LiAlCl4,Li4 Al4 Cl16,24,24,591.234,P2_1/c,14,monoclinic,3,Al3+ Cl- Li+,False
1004108,NiBiPO5,Ni4 Bi4 P4 O20,32,32,396.6913,P2_1/c,14,monoclinic,4,Bi3+ Ni2+ O2- P5+,False
1004143,BiP(PbO2)4,Bi2 P2 Pb8 O16,28,28,463.6477,P-1,2,triclinic,4,Bi3+ O2- P5+ Pb2+,False
1005006,Ta3N5,Ta12 N20,32,16,407.2643,Cmcm,63,orthorhombic,2,N3- Ta5+,False
1005010,Nb3SiTe6,Nb12 Si4 Te24,40,40,1018.9231,Pnma,62,orthorhombic,3,Nb0+ Si0+ Te0+,False
1005016,BaCoS2,Ba4 Co4 S8,16,8,373.9029,P4/nmm,129,tetragonal,3,Ba2+ Co2+ S2-,False
1005017,Ce3Sb5Pd6,Ce6 Sb10 Pd12,28,28,604.1234,Pmmn,59,orthorhombic,3,Ce0+ Pd0+ Sb0+,False
1005020,Ba2ZnN2,Ba4 Zn2 N4,10,5,225.0565,I4/mmm,139,tetragonal,3,Ba2+ N3- Zn2+,False
1006010,Pr2NiO4,Pr8 Ni4 O16,28,14,368.3673,Cmce,64,orthorhombic,3,Ni2+ O2- Pr3+,False
1006026,Nd2NiO4,Nd8 Ni4 O16,28,14,363.4537,Cmce,64,orthorhombic,3,Nd3+ Ni2+ O2-,False
1006034,BaEr2NiO5,Ba2 Er4 Ni2 O10,18,9,242.0718,Immm,71,orthorhombic,4,Ba2+ Er3+ Ni2+ O2-,False
1006036,BaTm2NiO5,Ba4 Tm8 Ni4 O20,36,36,481.4831,Pnma,62,orthorhombic,4,Ba2+ Ni2+ O2- Tm3+,False
1006083,Ho2Cu2O5,Ho8 Cu8 O20,36,36,471.405,Pna2_1,33,orthorhombic,3,Cu2+ Ho3+ O2-,False
1007030,Cr2Ag2O7,Cr4 Ag4 O14,22,22,302.3714,P-1,2,triclinic,3,Ag+ Cr6+ O2-,False
1007074,V2Co3O8,V8 Co12 O32,52,26,575.5635,Cmce,64,orthorhombic,3,Co2+ O2- V5+,False
1007149,BiPO4,Bi2 P2 O8,12,12,161.276,P2_1/m,11,monoclinic,3,Bi3+ O2- P5+,False
1007171,BaMo2(PO6)2,Ba2 Mo4 P4 O24,34,34,451.6726,P2_1/c,14,monoclinic,4,Ba2+ Mo6+ O2- P5+,False
1007237,CsZnPO4,Cs4 Zn4 P4 O16,28,28,471.2762,Pna2_1,33,orthorhombic,4,Cs+ O2- P5+ Zn2+,False
1007263,KBe(PO3)3,K4 Be4 P12 O36,56,56,770.932,P2_12_12_1,19,orthorhombic,4,Be2+ K+ O2- P5+,False
1008046,Co3(PO4)2,Co6 P4 O16,26,26,290.5414,P2_1/c,14,monoclinic,3,Co2+ O2- P5+,False
1008048,Ti4O7,Ti16 O28,44,22,464.479,P-1,2,triclinic,2,O2- Ti3.50+,False
1008057,BaCa(FeO2)4,Ba1 Ca1 Fe4 O8,14,14,195.0308,P-31m,162,trigonal,4,Ba2+ Ca2+ Fe3+ O2-,False
1008063,TiTe2,Ti1 Te2,3,3,80.2794,P-3m1,164,trigonal,2,Te2- Ti4+,False
1008087,XeF3,Xe4 F12,16,16,311.1575,P2_1/c,14,monoclinic,3,F- Xe2+ Xe4+,False
1008092,TbCrO4,Tb4 Cr4 O16,24,12,322.5391,I4_1/amd,141,tetragonal,3,Cr5+ O2- Tb3+,False
1008103,LiY(MoO4)2,Li2 Y2 Mo4 O16,24,24,311.9795,P-1,2,triclinic,4,Li+ Mo6+ O2- Y3+,False
1008153,CaTi2O4,Ca4 Ti8 O16,28,14,304.3066,Cmcm,63,orthorhombic,3,Ca2+ O2- Ti3+,False
1008163,V2Pb3O8,V4 Pb6 O16,26,13,385.9374,C2,5,monoclinic,3,O2- Pb2+ V5+,False
1008317,SmSI,Sm6 S6 I6,18,6,584.2485,R-3m,166,trigonal,3,I- S2- Sm3+,False
1008440,PrFeSi2,Pr4 Fe4 Si8,16,8,280.7791,Cmcm,63,orthorhombic,3,Fe0+ Pr0+ Si0+,False
1008444,NdFeSi2,Nd4 Fe4 Si8,16,8,274.9268,Cmcm,63,orthorhombic,3,Fe0+ Nd0+ Si0+,False
1008541,La2CuO4,La8 Cu4 O16,28,14,380.2478,Cmce,64,orthorhombic,3,Cu2+ La3+ O2-,False
1008544,Pr(MnSi)2,Pr2 Mn4 Si4,10,5,170.4599,I4/mmm,139,tetragonal,3,Mn0+ Pr0+ Si0+,False
1008743,Ca5Ge3O11,Ca20 Ge12 O44,76,38,1033.6922,P-1,2,triclinic,3,Ca2+ Ge4+ O2-,False
1008751,LaF3,La6 F18,24,24,326.7642,P6_3cm,185,hexagonal,2,F- La3+,False
1008753,KNa3Al4(SiO4)4,K2 Na6 Al8 Si8 O32,56,56,729.3509,P6_3,173,hexagonal,5,Al3+ K+ Na+ O2- Si4+,False
1008862,MnCoP,Mn4 Co4 P4,12,12,139.7163,Pnma,62,orthorhombic,3,Co0+ Mn0+ P0+,False
1008903,U2Co3O8,U4 Co6 O16,26,26,323.693,Pnnm,58,orthorhombic,3,Co2+ O2- U5+,False
1008915,LuMnO3,Lu6 Mn6 O18,30,30,359.4616,P6_3cm,185,hexagonal,3,Lu3+ Mn3+ O2-,False
1008934,NaErS2,Na3 Er3 S6,12,4,268.4714,R-3m,166,trigonal,3,Er3+ Na+ S2-,False
1008936,Mn7C3,Mn28 C12,40,40,378.8681,Pnma,62,orthorhombic,2,C0+ Mn0+,False
1008937,Fe7C3,Fe28 C12,40,40,372.5076,Pnma,62,orthorhombic,2,C0+ Fe0+,False
1008989,NiAsRh,Ni2 As2 Rh2,6,6,78.3015,P4/nmm,129,tetragonal,3,As0+ Ni0+ Rh0+,False
1009001,GaAsO4,Ga3 As3 O12,18,18,245.8475,P3_121,152,trigonal,3,As5+ Ga3+ O2-,False
1009034,NaFeO2,Na4 Fe4 O8,16,16,217.6362,Pna2_1,33,orthorhombic,3,Fe3+ Na+ O2-,False
1010038,Cu2Sb,Cu4 Sb2,6,6,97.0666,P4/nmm,129,tetragonal,2,Cu0+ Sb0+,False
1010083,K2PtCl4,K2 Pt1 Cl4,7,7,201.7922,P4/mmm,123,tetragonal,3,Cl- K+ Pt2+,False
1010144,CsAuCl3,Cs8 Au8 Cl24,40,10,1144.4453,Fm-3m,225,cubic,4,Au+ Au3+ Cl- Cs+,False
1010309,FeClO,Fe2 Cl2 O2,6,6,98.3812,Pmmn,59,orthorhombic,3,Cl- Fe3+ O2-,False
1010341,In2O3,In32 O48,80,40,1036.4337,I2_13,199,cubic,2,In3+ O2-,False
1010353,RbCd(NO2)3,Rb1 Cd1 N3 O6,11,11,155.2871,Pm-3,200,cubic,4,Cd2+ N3+ O2- Rb+,False
1010391,KN3,K4 N12,16,8,262.0375,I4/mcm,140,tetragonal,2,K+ N0.33-,False
1010395,EuF2,Eu4 F8,12,3,194.7086,Fm-3m,225,cubic,2,Eu2+ F-,False
1010436,MnO,Mn4 O4,8,2,87.2035,Fm-3m,225,cubic,2,Mn2+ O2-,False
1010450,CaAl2,Ca8 Al16,24,6,515.8496,Fd-3m,227,cubic,2,Al0+ Ca0+,False
1010451,ScF3,Sc1 F3,4,4,65.0565,R32,155,trigonal,2,F- Sc3+,False
1010537,HgTe,Hg4 Te4,8,2,257.2595,Fm-3m,225,cubic,2,Hg2+ Te2-,False
1010539,CdTe,Cd4 Te4,8,2,263.3747,F-43m,216,cubic,2,Cd2+ Te2-,False
1010563,AlCl3,Al1 Cl3,4,4,88.9959,P-3m1,164,trigonal,2,Al Cl,False
1010573,NaClO4,Na4 Cl4 O16,24,6,381.0781,F-43m,216,cubic,3,Cl7+ Na+ O2-,False
1010590,Dy2O3,Dy32 O48,80,40,1201.157,I2_13,199,cubic,2,Dy3+ O2-,False
1010913,FeAsS,Fe8 As8 S8,24,12,344.9562,P2_1/c,14,monoclinic,3,As0+ Fe0+ S0+,False
1010997,As3Pb5ClO12,As6 Pb10 Cl2 O24,42,42,674.7134,P6_3/m,176,hexagonal,4,As5+ Cl- O2- Pb2+,False
1011056,Co3S4,Co24 S32,56,14,834.8325,Fd-3m,227,cubic,3,Co2+ Co3+ S2-,False
1011149,BaCO3,Ba4 C4 O12,20,20,297.9171,Pnma,62,orthorhombic,3,Ba2+ C4+ O2-,False
1011194,CuO,Cu4 O4,8,4,80.8808,C2/c,15,monoclinic,2,Cu2+ O2-,False
1011210,CaTiO3,Ca2 Ti2 O6,10,5,107.4577,Pm-3m,221,cubic,3,Ca2+ O2- Ti4+,False
1011216,Fe2N,Fe6 N3,9,9,87.8765,P-31m,162,trigonal,2,Fe1.50+ N3-,False
1011252,Ca2ZnSi2O7,Ca4 Zn2 Si4 O14,24,24,307.7986,P-42_1m,113,tetragonal,4,Ca2+ O2- Si4+ Zn2+,False
1011288,Gd2O3,Gd32 O48,80,40,1263.2144,I2_13,199,cubic,2,Gd3+ O2-,False
1011319,NbN,Nb4 N4,8,2,85.7661,Fm-3m,225,cubic,2,N3- Nb3+,False
1011324,TaC,Ta4 C4,8,2,90.5188,Fm-3m,225,cubic,2,C4- Ta4+,False
1011341,CdCO3,Cd2 C2 O6,10,5,113.1878,R-3m,166,trigonal,3,C4+ Cd2+ O2-,False
1011354,InSb,In4 Sb4,8,2,269.7114,F-43m,216,cubic,2,In3+ Sb3-,False
1011369,HgS,Hg3 S3,6,6,142.9768,P3_121,152,trigonal,2,Hg2+ S2-,False
1100044,ZnS,Zn2 S2,4,4,79.2308,P6_3mc,186,hexagonal,2,S2- Zn2+,False
1100067,Sr3(BO3)2,Sr18 B12 O36,66,22,889.9323,R-3c,167,trigonal,3,B3+ O2- Sr2+,False
1100106,KMgAl2(SiO3)2,K1 Mg1 Al2 Si2 O6,12,12,491.1207,P1,1,triclinic,5,Al K Mg O Si,False
1100108,Fe,Fe2,2,1,23.591,Im-3m,229,cubic,1,Fe,False
1100168,H12PdC14Br2(N2O)4,H12 Pd1 C14 Br2 N8 O4,41,41,470.2091,P-1,2,triclinic,6,Br C H N O Pd,True
1100280,H9C13NO5,H18 C26 N2 O10,56,56,583.6021,P-1,2,triclinic,4,C H N O,True
1100651,H6C9(NF2)2,H24 C36 N8 F16,84,84,932.9155,P2_1/c,14,monoclinic,4,C F H N,True
1100972,SnH16Se3N7,Sn2 H32 Se6 N14,54,54,595.9091,P-1,2,triclinic,4,H N Se Sn,False
1101127,HgH12C10N4(ClO)2,Hg2 H24 C20 N8 Cl4 O4,62,62,713.5901,P-1,2,triclinic,6,C Cl H Hg N O,True
1500026,CdH20C10(NO)10,Cd1 H20 C10 N10 O10,51,51,490.2717,P-1,2,triclinic,5,C Cd H N O,True
1500030,CuH27C18N7O9,Cu2 H54 C36 N14 O18,124,124,1148.5621,P-1,2,triclinic,5,C Cu H N O,True
1500032,CoH30C22(N3O2)4,Co1 H30 C22 N12 O8,73,73,703.3186,P-1,2,triclinic,5,C Co H N O,True
1500034,CuH30C22(N3O2)4,Cu2 H60 C44 N24 O16,146,146,1350.2198,P-1,2,triclinic,5,C Cu H N O,True
1501466,ZrTc2,Zr4 Tc8,12,12,204.0674,P6_3/mmc,194,hexagonal,2,Tc Zr,False
1501516,WC,W1 C1,2,2,20.7517,P-6m2,187,hexagonal,2,C W,True
1501577,WC,W1 C1,2,2,19.9202,P-6m2,187,hexagonal,2,C W,True
1501583,WC,W1 C1,2,2,20.2858,P-6m2,187,hexagonal,2,C W,True
1501592,WC,W1 C1,2,2,19.8726,P-6m2,187,hexagonal,2,C W,True
1501769,H19(C6N)3,H38 C36 N6,80,80,788.6748,P-1,2,triclinic,3,C H N,True
1501831,H46(C10O)3,H46 C30 O3,79,79,618.8602,P1,1,triclinic,3,C H O,True
1501961,H19C20N,H38 C40 N2,80,80,753.2555,P-1,2,triclinic,3,C H N,True
1502026,H20C28S(NO4)2,H40 C56 S2 N4 O16,118,118,1219.6424,P-1,2,triclinic,5,C H N O S,True
1502049,H10C8N2O3,H40 C32 N8 O12,92,92,852.6435,P2_12_12_1,19,orthorhombic,4,C H N O,True
1502075,H4C6SNO,H32 C48 S8 N8 O8,104,104,1239.5544,P2_1/c,14,monoclinic,5,C H N O S,True
1502179,H21C13SNO,H84 C52 S4 N4 O4,148,148,1247.1096,P2_1/c,14,monoclinic,5,C H N O S,True
1502181,H8C11O,H32 C44 O4,80,80,787.1559,Pc,7,monoclinic,3,C H O,True
1502295,H62C48N4O13,H62 C48 N4 O13,127,127,1098.9677,P1,1,triclinic,4,C H N O,True
1502320,H12C20NClO2,H24 C40 N2 Cl2 O4,72,72,772.9974,P2_1/m,11,monoclinic,5,C Cl H N O,True
1502368,H19C20IBrNO4,H38 C40 I2 Br2 N2 O8,92,92,997.7558,P-1,2,triclinic,6,Br C H I N O,True
1502394,H23C27BrN2O7,H46 C54 Br2 N4 O14,120,120,1260.1979,P2_1,4,monoclinic,5,Br C H N O,True
1502433,H13C15NOF2,H52 C60 N4 O4 F8,128,128,1224.3607,P2_1/c,14,monoclinic,5,C F H N O,True
1502464,H9C8N3O2,H36 C32 N12 O8,88,88,859.8965,P-1,2,triclinic,4,C H N O,True
1502536,H19C18S(NO)2,H38 C36 S2 N4 O4,84,84,809.0402,P-1,2,triclinic,5,C H N O S,True
1502631,H19C19NO5,H38 C38 N2 O10,88,88,848.23,P-1,2,triclinic,4,C H N O,True
1502639,H16C25(N2Cl)2,H32 C50 N8 Cl4,94,94,1067.2913,P-1,2,triclinic,4,C Cl H N,True
1502650,H13C16Cl,H26 C32 Cl2,60,60,627.8565,P-1,2,triclinic,3,C Cl H,True
1502680,H20C22NO2,H40 C44 N2 O4,90,90,887.7304,P-1,2,triclinic,4,C H N O,True
1502704,CSN3O2F3,C4 S4 N12 O8 F12,40,40,579.9934,P2_1/c,14,monoclinic,5,C F N O S,True
1502723,H10C8N2O,H40 C32 N8 O4,84,84,798.6626,P-1,2,triclinic,4,C H N O,True
1502792,H14(C3O)5,H56 C60 O20,136,136,1344.4897,P2_12_12_1,19,orthorhombic,3,C H O,True
1502889,H14C13NClO,H56 C52 N4 Cl4 O4,120,120,1149.3208,P2_1/c,14,monoclinic,5,C Cl H N O,True
1502952,H14C10Se(NO2)2,H28 C20 Se2 N4 O8,62,62,584.9651,P2_1,4,monoclinic,5,C H N O Se,True
1502962,SiH21C12SBrN,Si2 H42 C24 S2 Br2 N2,74,74,738.9111,P-1,2,triclinic,6,Br C H N S Si,True
1502964,H2C5INF,H8 C20 I4 N4 F4,40,40,592.2259,P-1,2,triclinic,5,C F H I N,True
1503028,BH19C9N2,B4 H76 C36 N8,124,124,1105.024,P2_1/c,14,monoclinic,4,B C H N,True
1503207,H10C10Br2NCl3O2,H40 C40 Br8 N4 Cl12 O8,112,112,1415.3433,P2_12_12_1,19,orthorhombic,6,Br C Cl H N O,True
1503230,H17C15NO4,H68 C60 N4 O16,148,148,1427.8935,P-1,2,triclinic,4,C H N O,True
1503258,H28C21O5,H56 C42 O10,108,108,897.3902,P-1,2,triclinic,3,C H O,True
1503352,H7C9O2,H56 C72 O16,144,144,1432.5357,P2_12_12_1,19,orthorhombic,3,C H O,True
1503371,SiH11(C4S)3,Si4 H44 C48 S12,108,108,1347.6496,P-1,2,triclinic,4,C H S Si,True
1503553,H17C11ClO2,H68 C44 Cl4 O8,124,124,1078.4029,P2_1/c,14,monoclinic,4,C Cl H O,True
1503575,CoPH18C24N6O5F6,Co2 P2 H36 C48 N12 O10 F12,122,122,1366.1813,P-1,2,triclinic,7,C Co F H N O P,True
1503628,H11C16BrO4,H44 C64 Br4 O16,128,128,1420.9443,P2_1/c,14,monoclinic,4,Br C H O,True
1503650,H32C30Br(NO)3,H64 C60 Br2 N6 O6,138,138,1388.1982,P-1,2,triclinic,5,Br C H N O,True
1503670,H12C9SN4,H24 C18 S2 N8,52,52,489.9736,P-1,2,triclinic,4,C H N S,True
1503866,H13C14ClO2,H52 C56 Cl4 O8,120,120,1307.5357,P2_1/c,14,monoclinic,4,C Cl H O,True
1503884,B6H16(CN)5,B24 H64 C20 N20,128,128,1238.8855,P2_1/c,14,monoclinic,4,B C H N,True
1503964,H21C21S,H42 C42 S2,86,86,817.7773,P-1,2,triclinic,3,C H S,True
1504044,H11C13NO5,H44 C52 N4 O20,120,120,1219.3047,P2_12_12_1,19,orthorhombic,4,C H N O,True
1504125,H7(C3O)2,H42 C36 O12,90,90,772.5152,Pc,7,monoclinic,3,C H O,True
1504172,SiH19C13N2,Si4 H76 C52 N8,140,140,1391.1995,Pna2_1,33,orthorhombic,4,C H N Si,True
1504386,H3C2N,H36 C24 N12,72,72,686.6139,P2_1/c,14,monoclinic,3,C H N,True
1504489,H4C4O,H32 C32 O8,72,72,703.0988,P-1,2,triclinic,3,C H O,True
1504506,H24C22NClO3,H48 C44 N2 Cl2 O6,102,102,1042.7638,P2_1,4,monoclinic,5,C Cl H N O,True
1504532,H41C27SNO8,H41 C27 S1 N1 O8,78,78,733.4379,P1,1,triclinic,5,C H N O S,True
1504562,H27C30NO2,H54 C60 N2 O4,120,120,1130.6571,P-1,2,triclinic,4,C H N O,True
1504576,H13C9O2,H52 C36 O8,96,96,771.4177,P-1,2,triclinic,3,C H O,True
1504589,H8C7O,H64 C56 O8,128,128,1145.0001,P2_1/c,14,monoclinic,3,C H O,True
1504610,H29C22BrN2,H58 C44 Br2 N4,108,108,1011.0537,P2_1,4,monoclinic,4,Br C H N,True
1504645,H21C17BrO3,H42 C34 Br2 O6,84,84,794.5215,P-1,2,triclinic,4,Br C H O,True
1504677,HC4F,H10 C40 F10,60,60,761.9468,P-1,2,triclinic,3,C F H,True
1504715,H15C11N2,H60 C44 N8,112,112,1087.3044,P2_1/c,14,monoclinic,3,C H N,True
1504777,H4C12S5O2,H8 C24 S10 O4,46,46,602.8129,P-1,2,triclinic,4,C H O S,True
1504815,H11C13SIN2O3,H44 C52 S4 I4 N8 O12,124,124,1380.7245,P-1,2,triclinic,6,C H I N O S,True
1504820,H18C22O,H36 C44 O2,82,82,781.6728,P-1,2,triclinic,3,C H O,True
1504847,H13C14BrO4,H52 C56 Br4 O16,128,128,1412.6191,P2_12_12_1,19,orthorhombic,4,Br C H O,True
1504907,H20C23N3(ClO)3,H40 C46 N6 Cl6 O6,104,104,1123.139,P-1,2,triclinic,5,C Cl H N O,True
1504977,H15C15ClO4,H60 C60 Cl4 O16,140,140,1423.5714,P2_12_12_1,19,orthorhombic,4,C Cl H O,True
1505058,CuH12C16XeNO4,Cu2 H24 C32 Xe2 N2 O8,70,70,888.665,P-1,2,triclinic,6,C Cu H N O Xe,True
1505085,H12C14O,H48 C56 O4,108,108,1045.5923,P2_1,4,monoclinic,3,C H O,True
1505186,H18C14N4O9,H36 C28 N8 O18,90,90,814.7165,P-1,2,triclinic,4,C H N O,True
1505196,H9C12N2O,H18 C24 N4 O2,48,48,476.5419,P-1,2,triclinic,4,C H N O,True
1505207,H6C6N3O4,H24 C24 N12 O16,76,76,749.5183,P2_1/c,14,monoclinic,4,C H N O,True
1505278,H15C10NO4,H30 C20 N2 O8,60,60,512.1844,P2_1,4,monoclinic,4,C H N O,True
1505280,H17C18SNO3,H34 C36 S2 N2 O6,80,80,812.6094,P2_1,4,monoclinic,5,C H N O S,True
1505305,H12C9O4,H48 C36 O16,100,100,880.6385,P2_12_12_1,19,orthorhombic,3,C H O,True
1505396,H20C19SO3,H40 C38 S2 O6,86,86,853.668,P2_1,4,monoclinic,4,C H O S,True
1505437,H17C9NO3,H68 C36 N4 O12,120,120,932.7577,P2_1/c,14,monoclinic,4,C H N O,True
1505499,H5C9S,H20 C36 S4,60,60,636.5999,P2_1/c,14,monoclinic,3,C H S,True
1505593,H15C11SNO2,H60 C44 S4 N4 O8,120,120,1129.5042,P2_1/c,14,monoclinic,5,C H N O S,True
1505649,H12C10SNO,H48 C40 S4 N4 O4,100,100,1003.0685,P2_12_12_1,19,orthorhombic,5,C H N O S,True
1505851,H8C7O2,H64 C56 O16,136,136,1277.7515,P2_1/c,14,monoclinic,3,C H O,True
1505853,Si2H42C27N2O,Si4 H84 C54 N4 O2,148,148,1467.0595,P-1,2,triclinic,5,C H N O Si,True
1505972,SiH29C18NO,Si2 H58 C36 N2 O2,100,100,905.4968,P-1,2,triclinic,5,C H N O Si,True
1505974,H14C12INO,H56 C48 I4 N4 O4,116,116,1248.0906,P2_12_12_1,19,orthorhombic,5,C H I N O,True
1506010,H31C17S2N5O4,H62 C34 S4 N10 O8,118,118,1107.3296,P-1,2,triclinic,5,C H N O S,True
1506020,H20C28O3,H40 C56 O6,102,102,988.3292,P-1,2,triclinic,3,C H O,True
1506087,FeH20C16BrNO3,Fe2 H40 C32 Br2 N2 O6,84,84,894.1098,P-1,2,triclinic,6,Br C Fe H N O,True
1506093,H10C16N3ClO2,H40 C64 N12 Cl4 O8,128,128,1394.6359,P2_1/c,14,monoclinic,5,C Cl H N O,True
1506107,H24C19(NO)2,H48 C38 N4 O4,94,94,887.0051,P1,1,triclinic,4,C H N O,True
1506203,H14C13BrNO,H56 C52 Br4 N4 O4,120,120,1271.7784,P2_12_12_1,19,orthorhombic,5,Br C H N O,True
1506239,H13C14BrO4,H26 C28 Br2 O8,64,64,675.694,P-1,2,triclinic,4,Br C H O,True
1506272,PH37(C10O)3,P2 H74 C60 O6,142,142,1299.2561,P-1,2,triclinic,4,C H O P,True
1506287,H9C6SN3O,H36 C24 S4 N12 O4,80,80,801.1615,P2_1/c,14,monoclinic,5,C H N O S,True
1506358,H24PtC20N2Cl2O9,H48 Pt2 C40 N4 Cl4 O18,116,116,1201.3543,P-1,2,triclinic,6,C Cl H N O Pt,True
1506360,H19C24N,H38 C48 N2,88,88,859.8619,P-1,2,triclinic,3,C H N,True
1506397,H10C12N3ClO4,H40 C48 N12 Cl4 O16,120,120,1311.7143,P2_1/c,14,monoclinic,5,C Cl H N O,True
1506468,H15C17NO4,H30 C34 N2 O8,74,74,715.1663,P-1,2,triclinic,4,C H N O,True
1506482,H21C20SNO5,H42 C40 S2 N2 O10,96,96,997.0878,P-1,2,triclinic,5,C H N O S,True
1506642,H3C6N3O,H18 C36 N18 O6,78,78,917.6825,P-1,2,triclinic,4,C H N O,True
1506678,H17C10NO4,H68 C40 N4 O16,128,128,1170.6755,P2_1/c,14,monoclinic,4,C H N O,True
1506800,H16C13SN2O,H64 C52 S4 N8 O4,132,132,1243.8124,P2_1/c,14,monoclinic,5,C H N O S,True
1506854,H12C11N,H48 C44 N4,96,96,867.1602,P2_1/c,14,monoclinic,3,C H N,True
1506888,H17(C5N)3,H68 C60 N12,140,140,1311.5665,P2_1/c,14,monoclinic,3,C H N,True
1507068,H28(C6O)5,H56 C60 O10,126,126,1219.6567,P-1,2,triclinic,3,C H O,True
1507189,H25C31SNO2,H50 C62 S2 N2 O4,120,120,1241.1739,P-1,2,triclinic,5,C H N O S,True
1507264,H16C18SO4,H32 C36 S2 O8,78,78,743.7552,P2_1,4,monoclinic,4,C H O S,True
1507362,H19C14S(NO2)3,H38 C28 S2 N6 O12,86,86,837.4709,P-1,2,triclinic,5,C H N O S,True
1507503,H13C15NO2,H52 C60 N4 O8,124,124,1208.4823,P2_1/c,14,monoclinic,4,C H N O,True
1507510,H12C12BrClO3,H24 C24 Br2 Cl2 O6,58,58,646.7605,P2_1,4,monoclinic,5,Br C Cl H O,True
1507575,H16C13O,H64 C52 O4,120,120,1075.971,P2_12_12_1,19,orthorhombic,3,C H O,True
1507642,H23C24SBrN2O5,H46 C48 S2 Br2 N4 O10,112,112,1155.4552,P2_1,4,monoclinic,6,Br C H N O S,True
1507643,H15C12N4ClO7,H30 C24 N8 Cl2 O14,78,78,757.1287,P-1,2,triclinic,5,C Cl H N O,True
1507775,MoP3Pb2O11,Mo4 P12 Pb8 O44,68,68,911.0208,P2_1/c,14,monoclinic,4,Mo O P Pb,False
1507853,H27C22IO4,H54 C44 I2 O8,108,108,1075.4909,P-1,2,triclinic,4,C H I O,True
