cod_id,formula_reduced,formula_full,n_sites,n_sites_primitive,volume_a3,spacegroup_symbol,spacegroup_number,crystal_system,n_elements,elements,contains_carbon
7208828,H9C4N2O3,H36 C16 N8 O12,72,72,638.9514,P2_1/c,14,monoclinic,4,C H N O,True
7208979,CuH6C8N3,Cu4 H24 C32 N12,72,72,728.2067,P2_1/c,14,monoclinic,4,C Cu H N,True
7208995,H3C5N2O,H24 C40 N16 O8,88,88,948.2808,Pbca,61,orthorhombic,4,C H N O,True
7209223,NiP3H31C24N2O11,Ni2 P6 H62 C48 N4 O22,144,144,1340.986,P-1,2,triclinic,6,C H N Ni O P,True
7209272,SmH15C6O13,Sm4 H60 C24 O52,140,140,1392.8012,P2_1/c,14,monoclinic,4,C H O Sm,True
7209279,H16C16S2N3O3F,H32 C32 S4 N6 O6 F2,82,82,835.4979,P-1,2,triclinic,6,C F H N O S,True
7209381,AuSeClO3,Au4 Se4 Cl4 O12,24,24,426.8641,P-1,2,triclinic,4,Au Cl O Se,False
7209382,TeAuCl7,Te2 Au2 Cl14,18,18,512.3756,P-1,2,triclinic,3,Au Cl Te,False
7209484,TmCu(BO2)5,Tm4 Cu4 B20 O40,68,34,665.1607,Iba2,45,orthorhombic,4,B Cu O Tm,False
7209490,Ba2Mn(BO2)6,Ba6 Mn3 B18 O36,63,21,742.038,R-3,148,trigonal,4,B Ba Mn O,False
7209497,Tb2Cu(BO2)8,Tb4 Cu2 B16 O32,54,54,532.8297,P2_1/c,14,monoclinic,4,B Cu O Tb,False
7209502,Tm2Cu(B2O5)2,Tm4 Cu2 B8 O20,34,34,302.5181,P2_1/c,14,monoclinic,4,B Cu O Tm,False
7209725,H13C11NO4,H26 C22 N2 O8,58,58,546.1374,P2_1,4,monoclinic,4,C H N O,True
7209773,H9C7SNO2,H18 C14 S2 N2 O4,40,40,405.6836,P1,1,triclinic,5,C H N O S,True
7209867,H9C14N4ClO2,H36 C56 N16 Cl4 O8,120,120,1308.5235,P2_1/c,14,monoclinic,5,C Cl H N O,True
7209870,H9C14N4ClO2,H18 C28 N8 Cl2 O4,60,60,643.2458,P-1,2,triclinic,5,C Cl H N O,True
7209876,H9C14I(N2O)2,H36 C56 I4 N16 O8,120,120,1383.0836,P2_1/c,14,monoclinic,5,C H I N O,True
7209877,H9C14I(N2O)2,H18 C28 I2 N8 O4,60,60,674.1626,P-1,2,triclinic,5,C H I N O,True
7209917,Dy2H20C28N2O17,Dy4 H40 C56 N4 O34,138,138,1447.0679,P-1,2,triclinic,5,C Dy H N O,True
7209966,CuH12C12N4O3,Cu4 H48 C48 N16 O12,128,128,1292.7022,P2_12_12_1,19,orthorhombic,5,C Cu H N O,True
7209997,KH11(C7O2)2,K4 H44 C56 O16,120,60,1250.857,C2/c,15,monoclinic,4,C H K O,True
7210035,H16C18NO2F,H32 C36 N2 O4 F2,76,76,754.3346,P2_1,4,monoclinic,5,C F H N O,True
7210258,EuH24(C11O4)3,Eu2 H48 C66 O24,140,140,1460.9544,P-1,2,triclinic,4,C Eu H O,True
7210298,Mn2H25C24S2N3O11,Mn4 H50 C48 S4 N6 O22,134,134,1425.809,P-1,2,triclinic,6,C H Mn N O S,True
7210345,Cd5H36C34(N9O7)2,Cd5 H36 C34 N18 O14,107,107,1168.4616,P-1,2,triclinic,5,C Cd H N O,True
7210370,MnH30C30(NO)4,Mn2 H60 C60 N8 O8,138,138,1397.2695,P2_1/c,14,monoclinic,5,C H Mn N O,True
7210398,H9C5SNO3,H9 C5 S1 N1 O3,19,19,184.3418,P1,1,triclinic,5,C H N O S,True
7210678,MnH26C28(NO)6,Mn2 H52 C56 N12 O12,134,134,1296.0792,P2_1/c,14,monoclinic,5,C H Mn N O,True
7210893,Zn2H8C9N4O7,Zn4 H16 C18 N8 O14,60,60,605.9038,P-1,2,triclinic,5,C H N O Zn,True
7210895,H9C13N3O8,H36 C52 N12 O32,132,132,1354.9258,P2_1/c,14,monoclinic,4,C H N O,True
7211023,CdH18C14N2(O2F)4,Cd2 H36 C28 N4 O16 F8,94,94,961.3911,P2_1/c,14,monoclinic,6,C Cd F H N O,True
7211086,TbH21(C7O3)4,Tb2 H42 C56 O24,124,124,1274.4452,P-1,2,triclinic,4,C H O Tb,True
7211566,H9C7N3O,H36 C28 N12 O4,80,80,732.2713,P2_1/c,14,monoclinic,4,C H N O,True
7211618,Co2P3H17C4N2O9,Co4 P6 H34 C8 N4 O18,74,74,742.8665,P-1,2,triclinic,6,C Co H N O P,True
7211674,H10C9IN4ClO5,H40 C36 I4 N16 Cl4 O20,120,120,1445.6,P2_1/c,14,monoclinic,6,C Cl H I N O,True
7211676,H23C26N9O4,H46 C52 N18 O8,124,124,1234.1725,P2_1,4,monoclinic,4,C H N O,True
7211679,H8C9NClO2,H32 C36 N4 Cl4 O8,84,84,860.9095,P2_1/c,14,monoclinic,5,C Cl H N O,True
7211693,H19C21N2Cl3O7,H38 C42 N4 Cl6 O14,104,104,1108.5591,P-1,2,triclinic,5,C Cl H N O,True
7211876,PrH12C11O8,Pr2 H24 C22 O16,64,64,639.3808,P1,1,triclinic,4,C H O Pr,True
7211926,H31PdC12S2Br2NO2,H62 Pd2 C24 S4 Br4 N2 O4,102,102,1026.2541,P-1,2,triclinic,7,Br C H N O Pd S,True
7211950,PH19AuC24I,P2 H38 Au2 C48 I2,92,92,1053.5749,P-1,2,triclinic,5,Au C H I P,True
7212004,H18PbC6(I3N)2,H36 Pb2 C12 I12 N4,66,66,1063.6624,P2_1/c,14,monoclinic,5,C H I N Pb,True
7212099,H15C14SN2ClO2,H30 C28 S2 N4 Cl2 O4,70,70,729.3704,P-1,2,triclinic,6,C Cl H N O S,True
7212104,Lu2Si2O7,Lu8 Si8 O28,44,44,514.7531,P4_32_12,96,tetragonal,3,Lu O Si,False
7212168,Cu3H10C16S3N7,Cu3 H10 C16 S3 N7,39,39,502.4854,P1,1,triclinic,5,C Cu H N S,True
